Date,Open,Higest,Lowest,Close,Volume,Turnover
2016/5/3,3159.82,3218.49,3151.4,3213.54,98164835,1.16E+11
2016/5/4,3203.47,3222.88,3198.29,3209.46,90862408,97797136384
2016/5/5,3204.17,3217.28,3196.57,3213.92,74733681,83946496000
2016/5/6,3213.14,3216.89,3130.15,3130.35,108680240,1.19E+11
2016/5/9,3115.43,3115.43,3055.01,3065.62,99230477,1.00E+11
2016/5/10,3055.21,3084.72,3055.18,3069.11,68849935,70650765312
2016/5/11,3080.64,3102.88,3063.09,3082.81,81794258,87323410432
2016/5/12,3059.38,3095.35,3035.02,3090.14,78765726,81418788864
2016/5/13,3081.68,3103.1,3064.69,3074.94,62629755,65850994688
2016/5/16,3064.53,3095.56,3053.66,3095.31,59461856,64405200896
2016/5/17,3095.52,3105.2,3073.46,3086.02,65278125,75389386752
2016/5/18,3071.53,3072.61,3039.46,3068.04,82715369,88458846208
2016/5/19,3060.34,3086.98,3058.15,3062.5,60444166,68679061504
2016/5/20,3047.78,3078.53,3041.52,3078.22,56080842,65124249600
2016/5/23,3078.51,3098.48,3076.5,3087.22,59697216,70337511424
2016/5/24,3083.24,3083.26,3052.59,3063.56,58734385,61106016256
2016/5/25,3079.75,3089.1,3054.87,3059.23,56652803,63316561920
2016/5/26,3056.6,3072.52,3027.44,3064.21,60392981,65985183744
2016/5/27,3059.73,3073.76,3052.18,3062.5,60468750,59371778048
2016/5/30,3056.31,3075.26,3037.66,3066.71,63098579,63496564736
2016/5/31,3068.6,3170.93,3068.6,3169.56,138863111,1.51E+11
2016/6/1,3172.96,3181.79,3159.82,3160.55,113148482,1.32E+11
2016/6/2,3158.03,3168.82,3151.07,3167.1,86003427,97093623808
2016/6/3,3172.95,3201.75,3162.09,3189.33,101491783,1.36E+11
2016/6/6,3192.78,3197.22,3168.55,3178.79,76693751,1.01E+11
2016/6/7,3182.44,3186.62,3168.18,3177.05,68928314,88711618560
2016/6/8,3171.81,3174.97,3148.35,3163.99,76291775,97682792448
2016/6/13,3134.05,3145.61,3065.77,3066.34,92975947,1.14E+11
2016/6/14,3058.44,3078.75,3055.66,3075.98,66279457,78622302208
2016/6/15,3043.96,3128.67,3042.23,3116.37,87393257,1.06E+11
2016/6/16,3104.36,3112.48,3089.48,3094.67,82974703,93496238080
2016/6/17,3096.09,3131.05,3096.09,3110.36,85402985,97953390592
2016/6/20,3114.91,3118.73,3089.71,3112.67,63587141,74647805952
2016/6/21,3124.9,3155.49,3097.94,3106.32,87965345,1.07E+11
2016/6/22,3100.45,3134.06,3096.99,3133.96,66487113,81348714496
2016/6/23,3129.72,3129.72,3102.48,3117.32,67751738,81732550656
2016/6/24,3110.65,3130.54,3033.97,3077.16,104792208,1.19E+11
2016/6/27,3065.13,3120.64,3064.97,3120.54,83267259,1.04E+11
2016/6/28,3107.4,3139.43,3099.7,3136.4,92024637,1.17E+11
2016/6/29,3142.48,3158.08,3139.13,3151.39,103723668,1.18E+11
2016/6/30,3152.83,3163.72,3148.2,3153.92,79692617,1.01E+11
2016/7/1,3156.93,3170.26,3148.29,3154.2,71746283,91215028224
2016/7/4,3136.39,3210.6,3134.02,3204.7,133310529,1.50E+11
2016/7/5,3199.16,3216.7,3198,3207.38,130226895,1.44E+11
2016/7/6,3197.63,3217.52,3183.45,3216.8,124897458,1.47E+11
2016/7/7,3206.55,3220.54,3190.12,3209.95,118595202,1.40E+11
2016/7/8,3199.75,3204.93,3183.96,3192.28,89734855,1.11E+11
2016/7/11,3199.04,3235.96,3197.63,3203.33,138529511,1.55E+11
2016/7/12,3201.91,3273.47,3200.3,3273.18,172534217,1.91E+11
2016/7/13,3274.02,3300.99,3271.78,3282.87,175196090,1.97E+11
2016/7/14,3277.48,3281.95,3259.07,3276.76,107525798,1.28E+11
2016/7/15,3278.84,3285.03,3265.29,3276.28,102665026,1.25E+11
2016/7/18,3269.71,3281.64,3251.77,3262.02,110312518,1.30E+11
2016/7/19,3260.43,3264.73,3226.2,3248.23,88886861,1.07E+11
2016/7/20,3246.86,3254.51,3232.26,3237.61,72701255,91367448576
2016/7/21,3238.34,3271.37,3238.3,3252.52,86004825,1.07E+11
2016/7/22,3251.24,3253.77,3220.89,3225.16,86029128,1.07E+11
2016/7/25,3220.17,3243.79,3218.14,3230.89,70203185,92015845376
2016/7/26,3228.23,3269.75,3228.01,3269.59,81051089,1.04E+11
2016/7/27,3270.08,3276.51,3157.41,3218.24,160188665,1.87E+11
2016/7/28,3204.46,3235.78,3195.27,3221.14,112779964,1.37E+11
2016/7/29,3217.19,3225.42,3198.68,3203.93,88044837,1.04E+11
2016/8/1,3196.43,3199.98,3156.75,3176.81,87003497,98818637824
2016/8/2,3173.76,3189.05,3165.54,3189.05,62167639,70640762880
2016/8/3,3179.68,3197.16,3173.54,3193.51,72864102,79754321920
2016/8/4,3190.55,3201.55,3170.42,3201.29,73504373,86919593984
2016/8/5,3201.35,3224.87,3192.86,3205.11,77196366,94429544448
2016/8/8,3199.57,3234.48,3187.25,3234.18,86676051,1.03E+11
2016/8/9,3232.6,3257.33,3229.17,3256.98,91065259,1.06E+11
2016/8/10,3255.18,3261.86,3242.75,3243.34,90430372,1.06E+11
